entity_name,state,entity_type,individuals_affected,breach_date,breach_type,breach_location,business_associate,description,source,entity_type_raw,breach_type_raw,state_raw,breach_location_raw,year,month,quarter,day_of_week,year_month,severity,log_individuals,is_estimated,quality_flag
"J.D. Gilmour & Co., Inc.",CA,Other,2570.0,2024-01-22,Hacking/IT Incident,Email,Yes,"J.D. Gilmour & Company, the business associate (BA), reported that an employee was the victim of an email phishing scheme that compromised the protected health information (PHI) of 2,570 individuals. The PHI involved included names, addresses, dates of birth, Social Security numbers, and health insurance information. The BA notified HHS, the affected individuals, the media, and posted substitute notice on its website. In its mitigation efforts, the BA implemented additional administrative, technical, and security safeguards to better protect its sensitive data. OCR provided technical assistance regarding the HIPAA Rules.",archive,Business Associate,Hacking/IT Incident,CA,Email,2024,1,2024Q1,Monday,2024-01,Medium,7.852050207265889,False,
Renown Health,NV,Other,27004.0,2019-08-09,Loss,Portable Device,No,"The covered entity (CE), Renown Health, reported that a workforce member misplaced a USB thumb drive which contained the electronic protected health information (ePHI) of 27,004 individuals.  The ePHI involved in the breach included names, medical record numbers, diagnoses, clinical information, and treatment information.  In response to this breach incident, Renown implemented additional technical safeguards to better protect its ePHI.  ",archive,Healthcare Provider,Loss,NV,Other Portable Electronic Device,2019,8,2019Q3,Friday,2019-08,High,10.203777313026992,False,
Herron Business Law,PA,Other,1419.0,2020-11-20,Unauthorized Access/Disclosure,Paper/Films,Yes,"Herron Business Law, the business associate (BA), reported that it impermissibly disclosed the electronic protected health information (ePHI) of 1,419 individuals.  The ePHI involved included names and treatment information.    In response to the breach, the CE provided HIPAA training to its employees and legal representatives.  OCR provided the BA with technical assistance on the Breach Notification Rules and the Privacy Rule provisions pertaining to business associate agreements.",archive,Business Associate,Unauthorized Access/Disclosure,PA,Paper/Films,2020,11,2020Q4,Friday,2020-11,Medium,7.258412150595307,False,
Children's Center of Hamden,CT,Other,5213.0,2025-08-28,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Children's Center of Hamden, reported that it was the subject of a cyber-attack that affected the protected health information (PHI) of 5,213 individuals. The PHI involved included clinical and demographic information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE provided complimentary credit monitoring services to the affected individuals and implemented additional administrative, technical, and security safeguards, and retrained workforce members to better protect its PHI.",archive,Healthcare Provider,Hacking/IT Incident,CT,Network Server,2025,8,2025Q3,Thursday,2025-08,Medium,8.559102594493448,False,
Behavioral Health Resources,WA,Other,49213.0,2025-01-17,Hacking/IT Incident,Network Server,No,,under_investigation,Healthcare Provider,Hacking/IT Incident,WA,Network Server,2025,1,2025Q1,Friday,2025-01,High,10.803933414848446,False,
"Rogerson House, Inc.",MA,Other,500.0,2019-07-12,Hacking/IT Incident,Network Server,Yes,"Rogerson House filed a breach report indicating that a vendor, ResiDex Software, experienced a ransomware incident that affected the protected health information of 500 individuals. Initially Rogerson House reported to OCR that it was a covered entity (CE), but upon further investigation, it determined that this was an error. Because Rogerson House does not transmit any health information in electronic form in connection with a transaction for which HHS has adopted standards, it is not a CE. Therefore, the requirements of the Privacy, Security, and Breach Notification Rules do not apply.",archive,Healthcare Provider,Hacking/IT Incident,MA,Network Server,2019,7,2019Q3,Friday,2019-07,Low,6.2166061010848646,False,
Heart South Cardiovascular Group,AL,Other,20577.0,2024-06-13,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Heart South Cardiovascular Group experienced a ransomware attack that compromised the protected health information (PHI) of 20,577 individuals. The PHI involved included names, addresses, dates of birth, drivers’ license numbers, diagnoses, lab results, medications, health insurance information, claims and financial information, Social Security numbers, and other treatment information.  The CE notified HHS, affected individuals, the media, and provided substitute notice on its website. In its mitigation efforts, the CE implemented new technical safeguards, and retrained workforce members. OCR provided technical assistance regarding the HIPAA Breach Notification Rule.",archive,Healthcare Provider,Hacking/IT Incident,AL,Network Server,2024,6,2024Q2,Thursday,2024-06,High,9.931977822935757,False,
Genetics & IVF Institute ,VA,Other,606.0,2022-05-11,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Genetics and IVF Institute, reported that it experienced a ransomware incident that affected the protected health information (PHI) of 606 individuals. The PHI involved included names, Social Security numbers, financial information, and medications.  The CE notified HHS, affected individuals, and provided substitute notice. In response to the breach, the CE provided complimentary credit monitoring services and implemented additional administrative, technical, and security safeguards.",archive,Healthcare Provider,Hacking/IT Incident,VA,Network Server,2022,5,2022Q2,Wednesday,2022-05,Low,6.408528791059498,False,
The Harris Center for Mental Health and IDD,TX,Other,599367.0,2023-08-17,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), The Harris Center of Mental Health and IDD, reported that a software application used by its business associate (BA) exposed the protected health information (PHI) of  599,367 individuals. The PHI involved included names, dates of birth, addresses, Social Security numbers, diagnoses, health insurance information, and medical record numbers. The CE notified HHS, affected individuals, the media, and provided substitute notice. In response to the breach, the CE provided complimentary credit monitoring services and implemented additional administrative, technical, and security safeguards to better protect PHI.",archive,Healthcare Provider,Hacking/IT Incident,TX,Network Server,2023,8,2023Q3,Thursday,2023-08,Critical,13.303631045719523,False,
Beaumont Health,MI,Other,1182.0,2020-01-24,Unauthorized Access/Disclosure,EMR,No,"Beaumont Health, the covered entity (CE), reported that an employee impermissibly accessed the protected health information (PHI) of 1,182 individuals.  The PHI involved included names, addresses, dates of birth, Social Security numbers, medical records numbers, diagnoses/conditions, and other treatment information.   The CE notified HHS, affected individuals, and the media.  The CE also established a dedicated and confidential toll-free number for all affected individuals and offered complimentary credit monitoring services. Finally, the CE sanctioned the employee and implemented additional administrative and technical safeguards to better protect its PHI and retrained its staff.  OCR obtained assurances that the CE implemented the corrective actions noted.",archive,Healthcare Provider,Unauthorized Access/Disclosure,MI,Electronic Medical Record,2020,1,2020Q1,Friday,2020-01,Medium,7.075808863978387,False,
Alamance Skin Center,NC,Other,4080.0,2020-11-04,Hacking/IT Incident,EMR,No,"The covered entity (CE), Alamance Skin Center, reported that it was the victim of a ransomware attack that affected the electronic protected health information (ePHI) of 4,080 individuals. The ePHI involved included names, dates of birth, addresses, medical record numbers, diagnoses/conditions, and other treatment information. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website. In response to the breach, the CE implemented additional technical safeguards and retrained its workforce on HIPAA compliance. ",archive,Healthcare Provider,Hacking/IT Incident,NC,Electronic Medical Record,2020,11,2020Q4,Wednesday,2020-11,Medium,8.314097335405807,False,
Middletown Medical P.C.,NY,Other,63551.0,2018-03-29,Unauthorized Access/Disclosure,EMR,No,"A misconfigured radiology interface application permitted unauthorized individuals to access 63,551 patients’ electronic protected health information (ePHI). The ePHI affected by this incident included patients’ names, dates of birth, client identification numbers, dates of service, and, for approximately 250 patients, radiology reports and images. The covered entity (CE) provided breach notification to HHS, affected individuals, and the media. Following the breach, the CE secured the radiology application so that only authorized staff could access it, amended its policies and procedures to require that all systems and their security settings be tested in a test environment prior to live deployment, and trained relevant workforce members regarding this policy change. The CE also sanctioned the workforce member responsible for this incident. OCR obtained assurances that the CE implemented the corrective actions listed. Additionally, the CE is expected to perform a risk analysis and establish a risk management plan, and document the unauthorized disclosure of its patients’ ePHI for accounting of disclosure purposes. Also, the CE is expected to perform a technical and non-technical evaluation in response to environmental or operational changes, regularly review records of activity in all information systems, implement procedures for monitoring log-in attempts, and implement audit controls and valid encryption processes.",archive,Healthcare Provider,Unauthorized Access/Disclosure,NY,Electronic Medical Record,2018,3,2018Q1,Thursday,2018-03,High,11.059613747404844,False,
Fairbanks Urology,AK,Other,1446.0,2025-10-24,Hacking/IT Incident,Network Server,Yes,,under_investigation,Healthcare Provider,Hacking/IT Incident,AK,Network Server,2025,10,2025Q4,Friday,2025-10,Medium,7.277247726631484,False,
Catholic Charities West Michigan,MI,Other,45115.0,2025-02-06,Hacking/IT Incident,Network Server,No,"Catholic Charities West Michigan, the covered entity (CE)reported that it experienced a cyber-attack that compromised the protected health information (PHI) of 45,115 individuals. The PHI involved included names, addresses, dates of birth, drivers’ license and social security numbers, health insurance information, diagnoses, and conditions. The CE notified HHS and the affected individuals about the breach. The CE also took corrective actions in response to the breach, implementing additional administrative, technical, and security safeguards to better protect its PHI.",archive,Healthcare Provider,Hacking/IT Incident,MI,Network Server,2025,2,2025Q1,Thursday,2025-02,High,10.716992229759809,False,
Lee Memorial Health System,FL,Other,3800.0,2010-03-17,Other,Paper/Films,No,"The covered entity sent postcards to approximately 3,800 patients, which listed the patients' demographic information, and a statement that read, 'Your Physician Has Moved,' with a name and description of the practice, Infectious Disease Specialist. The types of PHI involved were demographic and clinical information. Voluntary actions taken prior to OCR's investigation include the issuance of sanctions and review of policies and procedures.\",archive,Healthcare Provider,Other,FL,Paper/Films,2010,3,2010Q1,Wednesday,2010-03,Medium,8.24301946898925,False,
"Biomatrix Specialty Pharmacy, LLC ",FL,Other,3640.0,2024-02-13,Hacking/IT Incident,Network Server,No,"Biomatrix Specialty Pharmacy, the covered entity (CE), reported that it experienced a cyber-attack that compromised the protected health information (PHI) of 3,640 individuals. The PHI included demographic and clinical information. The CE notified HHS, affected individuals, and the media. In its mitigation efforts, the CE implemented additional safeguards and retrained staff.",archive,Healthcare Provider,Hacking/IT Incident,FL,Network Server,2024,2,2024Q1,Tuesday,2024-02,Medium,8.200013648175434,False,
